2023-11-01 05:11:59 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status installed libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 remove libkrb5-3:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:59 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status config-files libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status not-installed libkrb5-3:amd64 <none>
2023-11-01 05:11:59 status installed libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 remove libk5crypto3:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:59 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status config-files libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status not-installed libk5crypto3:amd64 <none>
2023-11-01 05:11:59 status installed libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:59 remove libkeyutils1:amd64 1.6.3-2 <none>
2023-11-01 05:11:59 status half-configured libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:59 status half-installed libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:59 status config-files libkeyutils1:amd64 1.6.3-2
2023-11-01 05:11:59 status not-installed libkeyutils1:amd64 <none>
2023-11-01 05:11:59 status installed libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 remove libkrb5support0:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:59 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status config-files libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status not-installed libkrb5support0:amd64 <none>
2023-11-01 05:11:59 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:59 remove libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2023-11-01 05:11:59 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:59 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:59 status config-files libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:11:59 status not-installed libldap-2.5-0:amd64 <none>
2023-11-01 05:11:59 status installed libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:59 remove libnghttp2-14:amd64 1.52.0-1 <none>
2023-11-01 05:11:59 status half-configured libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:59 status half-installed libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:59 status config-files libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:11:59 status not-installed libnghttp2-14:amd64 <none>
2023-11-01 05:11:59 status installed libpsl5:amd64 0.21.2-1
2023-11-01 05:11:59 remove libpsl5:amd64 0.21.2-1 <none>
2023-11-01 05:11:59 status half-configured libpsl5:amd64 0.21.2-1
2023-11-01 05:11:59 status half-installed libpsl5:amd64 0.21.2-1
2023-11-01 05:11:59 status config-files libpsl5:amd64 0.21.2-1
2023-11-01 05:11:59 status not-installed libpsl5:amd64 <none>
2023-11-01 05:11:59 status installed libreadline8:amd64 8.2-1.3
2023-11-01 05:11:59 remove libreadline8:amd64 8.2-1.3 <none>
2023-11-01 05:11:59 status half-configured libreadline8:amd64 8.2-1.3
2023-11-01 05:11:59 status half-installed libreadline8:amd64 8.2-1.3
2023-11-01 05:11:59 status config-files libreadline8:amd64 8.2-1.3
2023-11-01 05:11:59 status not-installed libreadline8:amd64 <none>
2023-11-01 05:11:59 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:59 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2023-11-01 05:11:59 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:59 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:59 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:11:59 status not-installed librtmp1:amd64 <none>
2023-11-01 05:11:59 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 remove libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2023-11-01 05:11:59 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status config-files libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status not-installed libsasl2-2:amd64 <none>
2023-11-01 05:11:59 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 remove libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2023-11-01 05:11:59 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status config-files libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:11:59 status not-installed libsasl2-modules-db:amd64 <none>
2023-11-01 05:11:59 status installed libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:59 remove libssh2-1:amd64 1.10.0-3+b1 <none>
2023-11-01 05:11:59 status half-configured libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:59 status half-installed libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:59 status config-files libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:11:59 status not-installed libssh2-1:amd64 <none>
2023-11-01 05:11:59 status installed readline-common:all 8.2-1.3
